,CDRP-bio-Lasso,CDRP-bio-MLP,LUAD-Lasso,LUAD-MLP,LINCS-Lasso,LINCS-MLP,TAORF-Lasso,TAORF-MLP
RB1,,,12.53,18.19,-1.46,3.37,-2.53,0.14
RBKS,6.3,36.82,49.08,61.56,13.31,36.33,13.68,0.88
RBM15B,5.64,1.62,-2.51,30.12,4.67,22.47,11.17,7.42
RBM34,3.5,-0.89,12.97,17.02,3.23,4.69,-1.96,-0.54
RBM6,-1.67,2.77,40.91,56.19,12.74,27.12,-7.25,-6.03
REEP5,-2.44,-0.8,3.4,29.17,10.51,20.17,-1.35,2.01
RELB,25.79,42.09,41.34,48.26,26.2,53.55,7.75,53.75
RFC2,-2.28,10.07,44.76,59.58,-2.95,-0.36,-5.18,5.76
RFC5,-1.25,37.55,55.6,58.69,10.46,29.46,3.16,1.89
RFNG,-5.49,11.17,24.68,24.99,14.78,17.53,5.9,-0.14
RFX5,3.67,46.62,30.65,34.45,19.17,34.27,-7.52,0.16
RGS2,20.69,20.49,62.13,97.94,12.72,37.44,-3.63,-5.75
RHEB,,,58.55,56.53,7.52,19.28,-3.26,-1.68
RHOA,,,59.67,64.33,4.25,28.05,15.99,0.14
RNF167,-3.27,4.14,-6.17,0.05,2.18,12.66,-4.95,-2.09
RNH1,-27.78,-5.51,0.78,3.67,0.4,12.57,-0.35,0.5
RNMT,5.95,38.05,35.93,44.14,-6.19,22.42,1.68,5.45
RNPS1,-27.43,56.98,57.88,67.22,7.18,19.34,-6.49,0.16
RPA1,7.21,29.27,55.45,65.94,-1.15,86.94,24.13,48.13
RPA2,0.02,29.56,62.22,63.26,17.32,33.99,-7.54,-0.54
RPA3,6.11,18.16,53.84,75.16,21.68,39.61,-0.4,1.13
RPIA,-3.04,3.11,79.94,92.43,25.64,47.26,-1.66,-1.31
RPL39L,-2.54,4.36,77.82,81.75,22.88,35.15,2.21,16.24
RPN1,-17.72,2.92,23.71,32.74,6.43,17.05,1.38,3.89
RPP38,-4.72,-3.86,34.09,51.01,-10.04,22.06,-8.41,-1.66
RPS5,,,57.0,51.36,-2.21,0.74,-5.63,-3.28
RPS6,,,1.86,13.5,8.38,16.87,-0.1,-0.31
RPS6KA1,19.49,47.62,4.12,18.35,29.16,75.07,7.66,10.4
RRAGA,-0.28,13.61,11.35,49.32,13.97,26.81,-1.32,0.78
RRP12,19.58,47.48,43.79,61.91,5.14,24.06,-1.37,2.74
RRP1B,-11.49,8.93,37.18,60.7,21.56,45.06,18.97,52.98
RRS1,-11.92,9.13,49.21,67.56,3.28,0.18,-10.89,-6.02
RSU1,-0.75,13.62,56.56,90.41,0.15,48.35,-0.25,0.79
RTN2,-11.33,-14.77,53.58,47.12,16.07,25.54,1.45,-0.41
RUVBL1,-8.95,15.41,79.13,78.87,12.7,36.5,-7.64,38.72
S100A13,-3.12,35.34,10.36,88.67,20.87,54.0,18.66,0.61
S100A4,1.97,17.13,47.96,85.98,10.71,74.38,20.97,26.31
SACM1L,21.41,32.81,32.0,46.07,22.05,46.85,-4.18,-1.57
SATB1,,,4.07,10.85,2.32,11.53,-4.33,-1.88
SCAND1,8.75,15.73,-2.73,37.67,5.55,31.89,-4.77,-7.65
SCARB1,-7.93,4.95,71.86,77.97,8.84,29.61,23.32,5.57
SCCPDH,14.8,29.4,28.19,25.68,2.81,20.1,3.36,14.92
SCP2,-3.58,37.93,30.38,47.81,12.6,18.44,5.67,1.55
SCRN1,-0.85,34.07,14.91,29.27,-2.15,63.38,-3.73,-1.51
SCYL3,-2.57,7.48,22.73,22.35,4.5,16.9,-4.39,-0.64
SDHB,7.02,54.41,72.18,91.3,15.47,46.6,-1.74,1.97
SENP6,-9.3,0.6,9.55,62.48,13.58,34.75,-5.7,-3.71
SERPINE1,,,86.6,98.02,36.8,59.29,25.74,63.82
SESN1,7.44,60.35,57.95,65.54,29.67,49.62,-2.6,-0.1
SFN,8.25,1.61,34.86,52.26,14.53,28.6,10.2,9.66
SGCB,13.81,26.65,-0.08,39.9,12.57,15.22,-1.91,-0.84
SH3BP5,-0.83,2.82,10.72,58.69,3.36,32.06,-10.96,11.74
SHB,-0.25,0.72,13.79,34.46,-1.17,8.95,3.96,21.0
SHC1,,,31.33,61.23,11.32,26.93,-1.97,-0.81
SIRT3,,,3.34,9.21,-0.32,1.83,-12.39,-12.45
SKIV2L,-2.09,0.38,18.86,38.41,11.47,38.95,4.59,-0.73
SKP1,,,31.8,46.07,7.71,30.5,-2.62,-0.12
SLC11A2,-2.64,36.11,21.01,41.38,-3.3,8.07,-1.75,3.39
SLC1A4,25.9,54.51,15.98,26.54,-0.28,22.51,-7.97,20.01
SLC25A13,-3.55,3.15,3.91,20.77,-5.5,6.02,-3.98,-1.98
SLC25A14,-1.33,-0.32,22.29,32.69,-3.58,-0.02,-2.31,0.38
SLC25A4,5.23,18.62,20.03,19.14,12.73,58.02,0.45,9.63
SLC25A46,25.6,69.14,-2.7,-4.25,2.53,10.31,-6.9,0.04
SLC27A3,-16.44,7.65,29.91,30.37,16.85,34.47,-6.57,-3.77
SLC2A6,2.38,4.43,78.27,78.83,12.74,30.69,-3.24,13.87
SLC35A1,12.72,11.8,63.98,68.57,-3.85,22.1,17.82,2.98
SLC35A3,-14.36,20.9,-4.9,-0.47,-1.85,0.15,-1.61,-0.08
SLC35B1,-9.16,4.08,65.23,91.03,13.27,29.82,-2.65,3.34
SLC35F2,-7.16,38.46,39.51,42.59,20.16,37.46,-0.11,28.27
SLC37A4,41.01,37.8,47.4,34.67,9.24,23.08,9.0,21.67
SLC5A6,-4.64,4.18,36.63,35.28,0.8,2.42,-9.57,-2.19
SMAD3,19.43,21.4,58.85,73.45,13.95,36.88,-4.5,-1.88
SMARCA4,4.53,7.23,-2.05,21.38,-5.54,13.39,-1.63,0.79
SMARCC1,-0.91,4.66,24.1,46.11,9.08,23.86,4.7,14.0
SMARCD2,-4.03,-0.48,24.32,10.96,3.45,30.18,-7.25,-4.0
SMC1A,-3.35,-6.36,18.74,44.34,0.93,6.35,-0.1,0.34
SMC3,3.18,7.84,49.64,63.26,-2.94,10.97,-0.89,2.96
SMC4,-7.95,-2.26,72.97,93.05,51.98,87.69,36.96,42.55
SMNDC1,-20.57,37.29,33.07,68.24,5.04,35.48,20.61,20.21
SNAP25,,,-4.59,96.3,12.41,50.68,9.86,-0.2
SNCA,,,-0.38,4.19,-0.61,5.51,-3.59,-0.5
SNX11,-14.44,-0.36,-3.43,-0.05,-3.25,4.57,-2.09,3.28
SNX13,-0.81,-7.98,27.33,28.84,16.51,22.22,0.87,10.17
SNX6,6.61,29.07,31.42,62.91,5.18,24.49,-0.68,12.18
SNX7,-8.51,10.91,41.31,50.65,13.57,20.69,-2.81,-0.1
SOCS2,-4.91,27.37,-4.09,18.7,26.63,42.57,6.56,13.44
SORBS3,8.84,19.95,29.37,84.79,16.15,26.16,-0.2,9.62
SOX2,,,-2.99,0.23,19.27,35.14,17.26,19.42
SOX4,-4.72,12.27,71.26,97.24,11.96,22.77,-3.2,1.98
SPAG4,-6.67,0.8,54.7,80.07,17.07,27.32,-3.47,-0.09
SPAG7,-16.83,3.4,21.89,14.8,8.6,32.07,12.18,10.09
SPDEF,-11.57,10.24,-2.73,-1.71,0.79,3.14,4.85,6.5
SPEN,2.92,40.08,17.33,46.31,1.34,9.26,-3.39,-5.97
SPP1,,,14.49,96.5,18.82,39.77,21.9,21.3
SPR,20.49,59.78,-2.99,-1.03,6.86,28.68,-0.09,19.17
SPRED2,1.3,55.45,4.61,29.14,0.9,14.43,-5.2,3.51
SPTAN1,,,27.94,89.53,4.98,28.36,-5.37,1.67
SPTLC2,26.04,28.94,35.09,28.49,1.63,24.46,-2.82,1.14
SQRDL,-12.64,16.73,37.18,62.82,1.89,19.24,-0.84,-0.02
SQSTM1,,,62.84,97.15,33.69,78.49,14.12,0.82
SRC,,,33.98,55.46,39.25,63.19,-2.04,-0.42
SSBP2,-1.14,8.01,-0.55,-4.46,-2.07,-3.43,-2.46,8.65
ST3GAL5,-1.52,12.78,49.3,98.86,16.45,42.35,0.14,1.69
ST6GALNAC2,-6.44,27.91,-0.82,-3.54,-1.04,0.56,-0.51,-8.41
ST7,-2.97,-2.34,13.22,19.78,0.52,35.12,-10.95,1.32
STAMBP,0.17,2.77,50.18,94.57,3.02,18.24,-0.25,7.17
STAP2,-3.62,-0.31,-11.02,1.82,-2.42,-1.18,-1.06,1.28
STAT1,0.68,21.55,64.63,67.77,29.48,35.26,-1.41,-0.6
STAT3,,,38.67,39.41,21.18,41.0,8.87,-0.17
STAT5B,,,-2.03,26.96,4.27,19.88,-6.22,7.91
STK10,-6.22,14.11,-1.56,-0.63,-0.05,1.15,-2.84,-1.94
STK25,11.47,12.8,2.97,6.14,6.18,33.9,19.86,19.97
STMN1,19.16,43.38,58.82,75.61,7.89,35.76,35.25,42.48
STUB1,-2.48,15.95,-0.3,4.03,-2.12,0.24,-1.01,-4.07
STX1A,-1.4,20.29,51.1,77.15,11.84,45.62,17.0,78.53
STX4,-1.11,29.41,67.73,53.36,30.44,40.92,16.46,22.23
STXBP1,-1.79,-1.27,27.48,38.23,10.5,25.14,-0.86,-0.27
STXBP2,5.14,-4.1,24.92,44.97,-4.24,-0.77,-3.09,-0.65
SUPV3L1,-6.68,2.95,31.0,33.09,5.14,13.31,1.21,1.71
SUV39H1,,,77.3,84.87,21.95,44.55,14.04,17.77
SUZ12,,,57.82,68.87,18.67,40.84,8.37,7.36
SYK,,,21.8,18.17,11.22,29.09,10.71,51.06
SYNE2,-0.32,-1.86,9.44,30.65,22.38,36.01,-3.41,-0.12
SYNGR3,-2.7,21.42,59.07,64.43,-7.89,25.17,-17.34,8.93
SYPL1,-3.32,-2.0,45.6,79.71,4.03,21.1,3.48,-2.79
TARBP1,-4.22,17.39,-0.47,0.54,4.54,18.63,-3.3,-0.64
TATDN2,-6.36,5.64,28.98,28.15,22.22,46.79,-0.96,1.65
TBC1D9B,11.62,21.99,19.16,24.71,-3.7,-1.19,-7.0,-1.49
TBP,,,67.11,88.29,7.14,20.7,-4.2,-1.19
TBPL1,21.89,96.68,39.12,53.17,25.72,45.59,0.26,-4.21
TBX2,1.05,15.24,-1.6,6.52,1.4,2.63,-2.58,-1.93
TBXA2R,-0.45,0.73,-2.77,3.62,7.09,18.66,-1.97,14.7
TCEA2,18.22,86.03,63.02,89.22,22.63,43.78,6.23,37.7
TCEAL4,11.96,19.86,45.84,53.11,17.66,33.93,-1.61,2.81
TCERG1,23.45,61.5,66.84,70.68,30.88,47.12,-1.77,7.45
TCFL5,0.22,22.03,18.93,14.57,1.18,7.29,-3.24,-0.28
TCTA,2.51,4.89,50.43,64.72,1.04,8.87,-4.41,-4.17
TCTN1,10.51,32.75,54.49,54.15,8.09,11.44,1.47,3.42
TERF2IP,-3.33,-16.39,50.59,78.93,44.66,56.34,38.67,34.13
TERT,,,-10.36,0.46,5.07,23.47,9.56,7.07
TES,-7.93,4.34,73.86,81.69,26.25,50.77,12.24,2.66
TESK1,-2.12,0.2,63.44,60.06,30.61,38.35,9.25,8.64
TEX10,27.96,74.45,41.59,44.69,6.95,24.23,-8.99,-7.55
TFAP2A,-1.4,0.9,15.95,34.15,15.85,29.78,8.36,14.21
TFDP1,,,24.27,47.11,19.33,43.31,1.35,-4.5
TGFB3,,,6.46,19.81,4.87,21.65,-0.91,0.75
TGFBR2,,,-3.42,71.16,2.8,5.28,3.95,24.22
THAP11,25.31,20.76,28.51,35.23,4.05,3.47,-1.38,-1.6
TIAM1,1.17,17.74,-0.24,9.07,-2.29,0.99,-3.72,-0.55
TICAM1,,,19.52,22.16,15.69,39.58,-4.18,-0.11
TIMELESS,-6.29,6.46,81.94,88.84,39.43,55.89,9.76,11.85
TIMM17B,-4.62,-8.58,5.98,56.15,0.54,7.56,-10.49,8.59
TIMM22,-2.12,0.64,31.12,40.5,-2.09,-1.35,-0.7,3.07
TIMM9,-4.62,98.69,39.72,49.86,6.72,15.06,4.81,15.51
TIMP2,22.0,63.5,63.88,77.16,30.62,44.55,12.11,24.58
TIPARP,32.05,51.92,61.64,80.16,2.58,39.03,-1.73,0.82
TJP1,-2.97,4.54,36.47,93.54,0.76,15.13,7.0,33.04
TLE1,-0.1,0.37,17.7,25.9,18.63,39.85,4.75,11.64
TLK2,-3.45,17.84,4.37,5.5,3.23,5.73,-2.17,0.1
TLR4,,,-10.52,-7.64,-1.63,-1.03,-3.37,-2.3
TM9SF2,-2.8,-0.15,24.51,28.19,-1.38,13.97,-1.59,-4.49
TM9SF3,10.86,21.23,-7.19,0.38,0.11,6.27,-0.07,1.58
TMCO1,-1.84,17.51,23.01,59.12,10.33,69.96,-9.09,0.26
TMED10,-1.39,0.48,38.23,55.93,24.85,50.41,-1.93,-0.13
TMEM109,-1.21,1.84,64.73,75.99,27.03,59.85,24.71,40.62
TMEM110,-3.04,-2.59,3.62,1.34,2.54,8.02,-2.49,-0.62
TMEM2,9.44,21.44,31.14,51.49,20.34,36.59,-0.12,8.68
TMEM5,-11.98,1.39,27.76,46.43,11.31,22.9,-2.37,-10.43
TMEM50A,-3.21,17.09,43.12,67.48,31.86,51.59,22.23,26.84
TMEM97,2.07,18.6,69.96,98.83,37.45,58.07,13.59,53.76
TNFRSF21,14.74,4.33,14.17,62.27,16.92,44.46,11.14,13.83
TNIP1,-7.58,13.18,67.78,92.05,7.14,19.12,-2.39,-2.55
TOMM34,0.58,19.76,39.15,79.48,1.88,11.62,3.83,32.93
TOMM70A,5.95,23.74,46.26,47.63,16.02,53.68,-4.47,0.7
TOP2A,52.3,97.01,74.36,98.11,43.16,72.35,43.35,67.41
TOPBP1,-1.97,11.72,40.72,47.42,33.34,44.06,4.92,0.66
TOR1A,-3.13,12.19,-0.04,13.83,2.08,3.85,-5.95,-3.45
TP53,,,71.14,97.22,37.77,61.26,10.19,10.75
TP53BP1,4.28,17.24,-0.2,11.22,-6.81,10.01,-0.64,-2.07
TP53BP2,-3.75,21.79,50.0,81.35,12.79,24.74,0.41,3.59
TPD52L2,7.08,38.97,43.38,53.6,4.4,13.22,-0.36,-1.48
TPM1,14.52,49.44,89.63,98.85,47.81,66.94,60.03,82.45
TRAK2,2.76,19.74,23.24,32.7,9.47,32.28,-0.23,2.44
TRAM2,26.93,53.02,64.4,95.68,2.39,15.85,11.18,41.52
TRAP1,-2.51,3.85,60.96,47.26,3.18,11.16,-0.63,-0.23
TRAPPC3,14.25,28.24,-2.55,20.07,-7.44,2.66,-0.5,-0.12
TRAPPC6A,-6.0,32.12,74.89,75.35,25.11,50.45,9.4,20.14
TRIB1,25.59,29.33,48.71,62.81,22.98,47.54,21.54,26.4
TRIB3,45.04,95.66,-2.08,1.83,15.81,28.11,0.92,15.75
TRIM13,2.22,13.0,4.93,15.86,14.94,35.51,15.41,21.07
TRIM2,-13.6,4.32,15.11,23.1,21.3,29.87,-4.32,-1.19
TSC22D3,19.16,51.17,36.72,98.01,51.84,96.72,-2.21,0.57
TSEN2,-3.09,7.93,81.85,89.75,6.52,42.2,-0.25,-4.51
TSKU,34.72,26.66,27.77,71.39,30.12,51.58,5.42,-0.64
TSPAN3,15.08,32.65,40.74,49.79,11.86,25.66,-3.25,-0.76
TSPAN4,-1.83,1.68,-4.79,-1.87,7.35,14.63,4.63,8.61
TSPAN6,-3.04,14.0,50.31,53.87,29.86,43.0,-14.26,-2.09
TSTA3,-1.29,58.79,-1.51,38.18,9.9,25.32,3.26,6.86
TUBB6,1.05,-0.88,7.58,23.31,4.66,17.38,-0.3,1.02
TUSC4,-4.21,8.28,-0.64,1.36,-1.59,3.96,18.5,25.78
TWF2,6.87,2.23,53.95,59.44,0.27,18.44,-3.0,-3.58
TXLNA,-40.82,68.33,31.45,40.57,10.3,31.69,1.65,39.6
TXNDC9,4.06,22.64,-3.45,11.59,3.3,7.34,-2.25,3.61
TXNL4B,17.03,71.91,-3.94,15.3,-2.57,-0.17,-4.0,-2.35
TXNRD1,-3.64,30.82,55.5,73.48,22.04,63.72,16.31,29.0
UBE2A,-8.16,15.0,21.79,70.55,28.97,53.83,-3.91,-1.36
UBE2C,28.14,88.43,80.91,87.95,48.94,69.3,-0.03,0.23
UBE2J1,0.87,8.45,33.65,33.34,16.0,20.3,-7.02,3.94
UBE2L6,-2.33,13.64,7.59,44.19,2.25,41.83,-3.01,-0.76
UBE3B,-4.67,39.26,11.09,23.97,-0.52,9.86,-3.28,-0.58
UBE3C,-4.58,2.32,-6.09,-0.5,-4.61,0.14,-0.49,2.34
UBQLN2,2.57,20.21,9.32,21.52,-3.59,5.59,4.11,11.77
UBR7,-3.2,-1.25,26.07,38.39,19.61,32.97,-7.47,1.92
UFM1,-6.15,9.63,-2.17,1.22,-3.91,-1.4,0.0,-1.2
UGDH,-1.63,1.42,19.44,48.1,1.37,18.7,-10.47,-5.91
USP1,-44.03,-2.01,82.02,86.02,36.57,61.98,-6.73,51.93
USP14,3.77,23.83,28.67,47.83,5.69,0.63,-0.09,1.28
USP22,28.26,32.38,24.35,23.32,0.28,25.52,14.29,65.57
USP6NL,7.82,22.42,-1.68,2.48,-7.16,13.15,10.98,1.09
USP7,-4.16,13.96,27.55,39.33,-10.15,-1.56,6.67,0.06
UTP14A,3.97,12.07,56.95,68.51,-1.52,7.33,9.1,7.01
VAPB,-4.4,-0.6,22.1,0.32,12.34,20.5,2.37,22.12
VAT1,15.37,23.45,-0.23,6.16,13.25,25.46,-16.25,-3.76
VAV3,-1.14,4.1,7.24,19.43,5.52,19.34,5.77,17.34
VGLL4,-10.84,30.59,32.26,59.97,12.78,27.53,-1.29,-0.33
VPS28,-3.52,5.25,8.46,43.41,12.77,16.83,-1.12,0.01
VPS72,3.88,92.28,4.77,15.09,7.54,39.74,3.22,14.78
WASF3,-4.31,2.58,-3.09,4.32,3.79,13.32,-4.03,0.88
WDR61,-6.72,26.46,35.41,48.25,-2.73,0.59,2.07,22.56
WDR67,-2.02,8.43,27.92,42.5,-2.45,0.37,-1.24,-0.13
WDR7,-1.63,-0.26,4.45,12.38,10.04,13.96,4.64,-1.0
WDTC1,-6.46,-0.15,17.49,34.71,1.65,10.53,-3.46,-4.83
WFS1,-4.0,33.58,48.61,56.38,1.6,8.4,-0.59,7.23
WIPF2,-2.09,20.11,6.87,35.12,3.41,16.98,5.48,38.06
WRB,4.1,17.62,15.46,48.32,-0.9,21.98,4.01,-3.68
XBP1,35.3,15.14,32.89,50.46,21.64,42.9,4.2,59.44
XPNPEP1,-2.76,3.43,18.1,52.14,-2.08,21.8,-0.59,-3.54
XPO7,-18.11,-4.64,52.23,65.35,15.45,29.07,-0.73,-0.19
YKT6,3.67,2.0,77.92,96.57,24.73,50.89,46.99,79.22
YME1L1,-4.64,19.53,4.88,19.62,3.15,8.28,-6.98,-1.16
YTHDF1,-10.07,19.53,35.36,50.57,1.65,5.21,-1.68,-1.49
ZDHHC6,-2.12,0.33,47.72,51.66,8.46,22.88,-1.86,0.01
ZFP36,25.9,45.56,29.56,57.55,37.62,62.71,6.65,16.7
ZMIZ1,15.96,59.79,25.35,40.16,1.73,13.55,-2.94,-1.96
ZMYM2,11.49,22.87,-1.99,8.33,2.12,11.44,-5.36,-0.47
ZNF131,-27.45,50.89,3.86,39.13,1.0,8.74,-9.84,0.88
ZNF274,10.35,23.74,24.29,60.08,7.44,28.08,10.74,43.74
ZNF318,9.16,24.53,17.42,24.48,11.9,36.52,-2.42,0.14
ZNF395,-5.36,-1.68,14.7,26.67,10.74,17.72,12.5,32.71
ZNF451,17.51,49.58,47.72,53.01,-1.03,22.11,-0.44,-0.4
ZNF586,22.58,24.07,-6.13,-2.63,-1.76,-0.81,-4.03,15.48
ZNF589,-3.56,-4.94,-4.15,1.7,3.82,9.07,9.22,6.54
ZW10,9.1,21.82,-0.85,4.51,3.37,18.23,-0.38,-1.08
ABAT,-1.34,25.03,,,,,,
ACSL1,-6.94,6.54,,,,,,
ADCY9,2.38,23.89,,,,,,
AFF1,-0.42,23.62,,,,,,
AKAP1,13.74,49.87,,,,,,
ALMS1,-12.9,15.59,,,,,,
ANKRD49,-16.33,2.14,,,,,,
ARHGEF5,4.99,13.78,,,,,,
ASAP2,-4.65,8.17,,,,,,
ASL,-1.91,16.92,,,,,,
ASMTL,8.39,18.93,,,,,,
BAZ1B,4.97,6.89,,,,,,
BAZ2B,-1.22,15.58,,,,,,
BCKDHA,-3.87,2.91,,,,,,
BTBD3,8.65,10.79,,,,,,
BTG2,-11.84,-0.23,,,,,,
BTG3,8.09,12.88,,,,,,
BXDC5,-4.57,-0.48,,,,,,
CA12,0.05,9.01,,,,,,
CABIN1,-5.45,-0.53,,,,,,
CD14,8.19,32.57,,,,,,
CD19,-2.4,6.42,,,,,,
CEP55,21.77,42.64,,,,,,
CHCHD7,-5.41,0.64,,,,,,
CISH,7.21,17.13,,,,,,
CKB,11.99,74.56,,,,,,
CLCN3,38.24,42.04,,,,,,
CMPK1,-2.37,9.66,,,,,,
COL4A5,-9.42,-0.64,,,,,,
COQ3,7.21,21.37,,,,,,
CREB3L2,-15.93,12.42,,,,,,
CSDA,-4.49,4.21,,,,,,
CTCF,7.71,26.03,,,,,,
CTNS,6.53,4.7,,,,,,
CTSL2,3.57,83.05,,,,,,
DALRD3///LOC100133719,16.83,33.66,,,,,,
DDX49,-1.76,-1.12,,,,,,
DFNB31,3.73,15.02,,,,,,
DHPS,-4.65,21.59,,,,,,
DHX8,-8.57,21.68,,,,,,
DLGAP5,-1.09,0.28,,,,,,
DNAJB12,5.92,67.68,,,,,,
DOK4,-2.14,-0.37,,,,,,
DSE,2.62,38.7,,,,,,
DTNA,-4.02,-0.85,,,,,,
ECHDC1,-5.0,13.06,,,,,,
EFNB3,5.21,17.1,,,,,,
EIF1B,12.64,79.3,,,,,,
ENTPD6,1.5,15.04,,,,,,
EPB41L4B,-0.87,2.41,,,,,,
EPHA2,20.12,22.17,,,,,,
EPHB4,19.27,15.15,,,,,,
ERCC1,-7.9,8.5,,,,,,
ERCC5,14.53,28.11,,,,,,
ERCC6L,5.33,20.12,,,,,,
ERLIN1,34.83,60.31,,,,,,
ETFA,1.71,11.4,,,,,,
F12,-7.88,-0.94,,,,,,
FADD,36.08,55.78,,,,,,
FAM162A,5.65,22.6,,,,,,
FAM3C,-5.35,1.39,,,,,,
FANCA,8.81,15.25,,,,,,
FANCL,-7.6,0.14,,,,,,
FBRS,-1.4,32.04,,,,,,
FDX1,14.44,26.98,,,,,,
FEZ1,-6.44,11.8,,,,,,
FTSJ1,-25.22,-6.7,,,,,,
FUZ,-3.14,-0.37,,,,,,
FZD5,-4.08,8.51,,,,,,
GGA2,-9.25,2.1,,,,,,
GM2A,-7.48,41.94,,,,,,
GMDS,6.47,22.16,,,,,,
GOLIM4,-1.86,2.28,,,,,,
GPR125,-6.53,12.16,,,,,,
GPRC5C,-1.95,5.78,,,,,,
GRHPR,34.06,95.99,,,,,,
GYS1,-7.36,-2.67,,,,,,
HADHB,14.75,21.06,,,,,,
HBE1,-11.02,4.73,,,,,,
HDAC4,-2.21,-0.58,,,,,,
HIST1H2BD,-8.04,-6.96,,,,,,
HLF,-4.51,19.17,,,,,,
HMGCL,-1.49,10.26,,,,,,
IFIT5,0.73,0.25,,,,,,
IL1RAP,25.44,12.18,,,,,,
IMPA2,-10.98,4.35,,,,,,
KDELR3,3.65,9.72,,,,,,
KHDC1///SPA17,-4.26,0.0,,,,,,
KIAA0317,9.34,13.68,,,,,,
KIAA0922,-7.38,1.27,,,,,,
LASP1,-11.16,-8.42,,,,,,
LHPP,-5.68,3.8,,,,,,
LIMK2,-18.99,-5.66,,,,,,
LRRC40,-5.64,2.23,,,,,,
LYPD3,3.76,38.57,,,,,,
MAD2L1BP,0.11,23.53,,,,,,
MAN2A2,-0.02,4.57,,,,,,
MAPKSP1,18.04,62.81,,,,,,
MARK4,3.33,16.66,,,,,,
MEGF9,-3.09,5.24,,,,,,
MGST2,-3.76,-1.6,,,,,,
MPDZ,6.36,10.54,,,,,,
NAT13,-9.77,6.15,,,,,,
NIPBL,9.96,25.91,,,,,,
NSFL1C,-5.69,5.04,,,,,,
PANK2,1.22,23.76,,,,,,
PARL,18.44,53.76,,,,,,
PARN,-1.12,-0.04,,,,,,
PDS5B,-20.93,-2.96,,,,,,
PEPD,-6.55,-1.96,,,,,,
PER2,21.87,21.88,,,,,,
PEX19,-7.78,13.07,,,,,,
PHF2,-1.08,-2.56,,,,,,
PJA1,-4.18,3.0,,,,,,
PKD1,-3.15,-1.87,,,,,,
POLR3B,3.1,19.19,,,,,,
PPAP2A,-2.01,4.18,,,,,,
PPIF,-3.83,28.42,,,,,,
PPP2R3A,10.87,13.57,,,,,,
PPP2R5B,11.09,37.14,,,,,,
PPP3CA,-22.34,10.95,,,,,,
PPP4R1,11.73,14.26,,,,,,
PSMD5,-1.92,17.82,,,,,,
PTEN,4.87,16.78,,,,,,
PTPLA,-0.74,37.04,,,,,,
QRSL1,9.3,16.8,,,,,,
RAB1B,-4.78,1.58,,,,,,
RAB3GAP1,-1.11,-0.48,,,,,,
RABGGTA,-0.11,10.36,,,,,,
RAD23B,-4.0,4.05,,,,,,
RAP1A,-1.71,-0.63,,,,,,
RARA,-2.44,-4.84,,,,,,
RBM16,4.55,32.97,,,,,,
RHOBTB1,-5.83,6.68,,,,,,
RTCD1,-0.73,2.74,,,,,,
SAP18,18.66,17.31,,,,,,
SEC14L1,16.46,52.15,,,,,,
SEC24B,5.46,19.22,,,,,,
SEC24C,6.16,20.44,,,,,,
SEC61A2,25.57,48.37,,,,,,
SENP5,-1.56,1.19,,,,,,
SERTAD3,18.06,18.06,,,,,,
SETD1B,-1.31,1.3,,,,,,
SETDB1,-5.72,8.05,,,,,,
SFMBT1,-4.21,-9.17,,,,,,
SFRS16,-3.34,23.82,,,,,,
SFRS2B,4.62,20.26,,,,,,
SGK1,17.67,32.55,,,,,,
SIK1,26.46,34.28,,,,,,
SLC16A6,5.94,26.51,,,,,,
SLC2A1,-3.8,4.43,,,,,,
SLC36A1,-11.62,-3.39,,,,,,
SMG7,6.38,4.25,,,,,,
SMYD3,-8.86,3.37,,,,,,
SNRPD1,-3.58,54.45,,,,,,
SNRPF,-6.89,1.36,,,,,,
SNX2,20.24,38.29,,,,,,
SRF,9.5,41.99,,,,,,
SRPRB,-2.87,7.06,,,,,,
SRRM1,-8.61,21.14,,,,,,
STAT6,8.49,20.25,,,,,,
SWAP70,-10.78,16.17,,,,,,
TARS,7.69,37.03,,,,,,
TBCB,7.77,5.55,,,,,,
TCIRG1,-1.82,-3.3,,,,,,
TGDS,-1.48,-0.47,,,,,,
TLE3,7.82,30.62,,,,,,
TMEM127,-6.16,6.19,,,,,,
TNFAIP1,-13.12,-5.33,,,,,,
TOMM22,2.02,21.88,,,,,,
TP53TG1,-5.6,14.39,,,,,,
TRIP10,20.83,37.8,,,,,,
TSN,-1.86,19.53,,,,,,
TTF1,-5.89,9.71,,,,,,
UBE4A,-0.88,-1.57,,,,,,
UGP2,-10.48,25.25,,,,,,
USP20,-0.9,9.25,,,,,,
UVRAG,-7.36,20.88,,,,,,
VAMP7,-1.19,20.26,,,,,,
VPS26A,-0.52,20.95,,,,,,
WRN,19.98,27.35,,,,,,
WWOX,-14.35,2.88,,,,,,
ZBTB24,-11.14,13.25,,,,,,
ZBTB5,-2.74,1.86,,,,,,
ZC3H4,15.8,-1.75,,,,,,
ZER1,-0.27,50.84,,,,,,
ZFP161,-2.28,30.53,,,,,,
ZGPAT,-8.37,-2.95,,,,,,
ZNF629,-5.13,3.88,,,,,,
ZNF672,8.27,27.58,,,,,,
ZNF692,-5.54,3.76,,,,,,
ZNF768,-2.88,19.25,,,,,,
